SaleID,PropertyID,SaleDate,SalePrice,LegalReference,SoldAsVacant
16271,9060,2013-10-04,442500.0,20131007-0104978,0.0
16272,27275,2015-02-17,529900.0,20150220-0014946,0.0
16273,4739,2013-06-12,310000.0,20130617-0061773,0.0
16274,42152,2015-12-07,419000.0,20151208-0123630,0.0
16275,2244,2013-04-18,265000.0,20130422-0039971,0.0
16276,307,2013-01-10,388565.0,20130115-0004561,0.0
16277,53372,2016-08-05,280000.0,20160808-0081898,0.0
16278,7212,2013-08-08,466000.0,20130814-0085536,0.0
16279,28371,2015-03-25,360000.0,20150331-0027687,0.0
16280,6001,2013-07-29,246000.0,20130731-0079649,0.0
16281,42153,2015-12-03,525000.0,20151208-0123309,0.0
16282,7213,2013-08-29,319000.0,20130910-0095471,0.0
16283,6002,2013-07-24,239500.0,20130730-0078960,0.0
16284,36753,2015-08-14,274000.0,20150817-0082609,0.0
16285,45573,2016-03-25,185000.0,20160328-0028899,0.0
16286,24065,2014-11-04,317000.0,20141107-0102923,0.0
16287,21544,2014-09-10,299900.0,20140916-0084675,0.0
16288,18610,2014-07-31,407500.0,20140815-0074058,0.0
16289,7214,2013-08-16,95000.0,20130827-0090265,0.0
16290,14627,2014-04-21,434632.0,20140429-0035941,0.0
16291,35091,2015-07-02,390000.0,20150708-0066104,0.0
16292,12538,2014-02-14,130000.0,20140219-0014151,0.0
16293,21545,2014-09-30,470000.0,20141002-0091205,0.0
16294,22960,2014-10-08,230000.0,20141010-0094064,0.0
16296,22962,2014-10-31,225000.0,20141104-0101697,0.0
16297,3453,2013-05-24,115000.0,20130528-0053348,0.0
16298,13530,2014-03-31,151000.0,20140404-0028422,0.0
16299,28372,2015-03-13,162500.0,20150326-0026006,0.0
16300,20053,2014-08-26,399900.0,20140827-0078361,0.0
16302,3454,2013-05-02,140000.0,20130503-0044744,0.0
16303,20054,2014-08-27,469900.0,20140829-0079148,0.0
16306,18611,2014-07-22,495000.0,20140730-0067976,0.0
16308,6003,2013-07-29,356000.0,20130801-0080110,0.0
16309,4740,2013-06-26,273000.0,20130701-0067462,0.0
16310,29713,2015-04-22,377000.0,20150429-0038368,0.0
16311,49009,2016-05-26,400000.0,20160606-0056984,0.0
16312,53373,2016-08-24,435000.0,20160826-0089408,0.0
16313,49010,2016-05-12,493575.0,20160517-0048925,0.0
16314,53374,2016-08-05,225000.0,20160808-0081895,0.0
16315,15736,2014-05-23,170000.0,20140528-0045924,0.0
16316,54862,2016-09-16,600000.0,20160920-0098778,0.0
16318,14628,2014-04-17,235000.0,20140421-0032879,0.0
16319,47271,2016-04-11,265000.0,20160414-0035781,0.0
16320,13532,2014-03-31,275000.0,20140402-0027173,0.0
16321,52170,2016-07-14,400000.0,20160719-0074397,0.0
16322,1303,2013-03-28,198000.0,20130401-0031448,0.0
16323,49011,2016-05-06,327765.0,20160516-0048762,0.0
16324,45574,2016-03-11,419900.0,20160314-0024139,0.0
16325,24066,2014-11-17,591000.0,20141118-0106404,0.0
16326,49012,2016-05-18,365101.0,20160526-0052935,0.0
16327,33327,2015-06-10,215000.0,20150615-0056633,0.0
16328,6004,2013-07-12,230000.0,20130715-0072887,0.0
16329,56268,2016-10-03,437000.0,20161006-0105637,0.0
16330,54863,2016-09-29,440000.0,20161004-0104701,0.0
16391,39623,2015-10-01,400000.0,20151008-0102723,0.0
16392,9063,2013-10-09,270000.0,20131015-0107724,0.0
16393,20060,2014-08-14,435000.0,20140819-0075095,0.0
16394,15737,2014-05-02,449000.0,20140506-0038554,0.0
16395,22963,2014-10-03,475000.0,20141014-0094501,0.0
16396,746,2013-02-21,215000.0,20130301-0020579,0.0
16397,6005,2013-07-25,600000.0,20130729-0078734,0.0
16398,6006,2013-07-25,445000.0,20130729-0078738,0.0
16400,13534,2014-03-24,375000.0,20140325-0024492,0.0
16401,15738,2014-05-13,310500.0,20140516-0042199,0.0
16402,3458,2013-05-15,260000.0,20130520-0050300,0.0
16403,2245,2013-04-15,200000.0,20130416-0037516,0.0
16404,47272,2016-04-15,250000.0,20160419-0037471,0.0
16405,49017,2016-05-02,360000.0,20160504-0043887,0.0
16406,43280,2016-01-20,616000.0,20160128-0008316,0.0
16407,12539,2014-02-18,320000.0,20140225-0016104,0.0
16408,3459,2013-05-28,177000.0,20130530-0054671,0.0
16409,17146,2014-06-20,346000.0,20140623-0054734,0.0
16410,28377,2015-03-25,399000.0,20150326-0025926,0.0
16411,28378,2015-03-30,321500.0,20150410-0031603,0.0
16412,747,2013-02-15,425000.0,20130227-0019670,0.0
16413,24067,2014-11-25,465000.0,20141212-0114022,0.0
16414,21549,2014-09-05,200000.0,20140912-0083666,0.0
16415,29717,2015-04-30,550000.0,20150505-0040702,0.0
16416,47273,2016-04-15,590000.0,20160419-0037809,0.0
16417,35095,2015-07-13,359000.0,20150714-0068253,0.0
16418,9963,2013-11-04,440000.0,20131106-0115276,0.0
16419,15739,2014-05-15,503900.0,20140520-0043158,0.0
16420,4742,2013-06-07,449830.0,20130610-0058852,0.0
16421,4743,2013-06-07,449830.0,20130610-00588852,0.0
16422,15740,2014-05-23,175500.0,20140529-0046048,0.0
16423,6007,2013-07-31,535229.0,20130801-0080370,0.0
16424,31481,2015-05-13,300000.0,20150518-0045278,0.0
16425,36756,2015-08-12,500000.0,20150814-0081699,0.0
16426,17147,2014-06-13,268000.0,20140617-0052666,0.0
16427,29718,2015-04-14,525000.0,20150416-0033467,0.0
16428,11825,2014-01-31,185000.0,20140203-0009461,0.0
16429,43281,2016-01-22,428000.0,20160126-0007477,0.0
16430,11826,2014-01-03,189900.0,20140110-0002922,0.0
16431,43282,2016-01-19,274000.0,20160125-0007011,0.0
16432,25285,2014-12-01,200000.0,20141202-0110587,0.0
16433,36757,2015-08-14,298500.0,20150818-0082858,0.0
16434,38329,2015-09-16,560000.0,20150918-0094893,0.0
16435,15741,2014-05-07,131400.0,20140509-0039684,0.0
16436,25286,2014-12-30,480686.0,20150107-0001629,0.0
16437,25287,2014-12-04,250000.0,20141205-0111877,0.0
16439,9065,2013-10-29,120000.0,20131031-0113034,0.0
16440,2246,2013-04-05,295000.0,20130412-0036681,0.0
16441,49018,2016-05-20,405000.0,20160523-0051115,0.0
16442,13535,2014-03-31,404900.0,20140402-0027514,0.0
16443,36758,2015-08-14,443000.0,20150814-0081891,0.0
16444,20061,2014-08-08,322500.0,20140808-0071793,0.0
16445,31482,2015-05-15,180000.0,20150519-0046174,0.0
16446,47274,2016-04-04,205000.0,20160412-0035010,0.0
16447,9964,2013-11-14,91500.0,20131121-0120180,0.0
16448,35096,2015-07-30,526500.0,20150805-0077714,0.0
16449,8118,2013-09-16,315000.0,20130917-0097641,0.0
16450,17148,2014-06-06,275000.0,20140610-0050524,0.0
16451,10938,2013-12-31,357000.0,20140106-0001319,0.0
16453,10939,2013-12-17,282500.0,20131227-0130370,0.0
16454,35097,2015-07-01,215000.0,20145070- 006392,0.0
16455,20062,2014-08-20,380000.0,20140822-0076700,0.0
16456,21550,2014-09-10,225000.0,20140912-0083726,0.0
16457,6008,2013-07-12,126000.0,20130715-0072839,1.0
16458,18613,2014-07-08,456000.0,20140714-0061797,0.0
16459,38330,2015-09-04,537500.0,20150911-0092296,0.0
16461,45576,2016-03-23,288000.0,20160414-0035649,0.0
16462,22964,2014-10-09,205000.0,20141010-0094291,0.0
16463,9965,2013-11-25,461250.0,20131127-0121898,0.0
16464,38331,2015-09-28,395000.0,20150930-0099075,0.0
16465,6009,2013-07-31,499000.0,20130802-0080715,0.0
16466,35098,2015-07-28,549900.0,20150730-0075110,0.0
16467,33329,2015-06-10,393500.0,20150617-0057458,0.0
16468,38332,2015-09-30,339900.0,20151005-0100885,0.0
16469,4744,2013-06-28,305000.0,20130701-0067820,0.0
16470,3460,2013-05-01,317000.0,20130510-0047370,0.0
16471,42158,2015-12-18,419000.0,20151221-0127665,0.0
16472,4745,2013-06-14,425000.0,20130617-0061490,0.0
16473,3461,2013-05-20,393000.0,20130523-0052415,0.0
16474,25288,2014-12-02,170000.0,20141210-0113211,0.0
16475,49019,2016-05-12,309000.0,20160516-0048414,0.0
16476,49020,2016-05-16,350000.0,20160518-0049698,0.0
16477,22965,2014-10-27,351000.0,20141029-0099945,0.0
16478,6010,2013-07-02,125000.0,20130708-0070161,1.0
16479,15742,2014-05-01,499900.0,20140505-0038205,0.0
16480,6011,2013-07-02,125000.0,20130705-0069982,1.0
16481,13536,2014-03-07,499900.0,20140310-0019967,0.0
16482,3462,2013-05-06,341000.0,20130508-0046582,0.0
16483,17149,2014-06-30,389900.0,20140708-0059844,0.0
16484,13537,2014-03-20,624255.0,20140321-0023545,0.0
16492,22966,2014-10-18,199900.0,20141023-0097800,0.0
16493,50900,2016-06-13,268500.0,20160613-0059774,0.0
16494,50901,2016-06-23,305000.0,20160627-0065038,0.0
16495,47275,2016-04-01,250000.0,20160404-0032091,0.0
16496,56270,2016-10-31,245765.0,20161102-0115610,0.0
16497,2247,2013-04-25,172500.0,20130507-0045856,0.0
16498,39624,2015-10-23,238750.0,20151026-0108402,0.0
16499,18614,2014-07-14,203900.0,20140717-0063255,0.0
16501,17150,2014-06-30,234900.0,20140710-0060707,0.0
